sentence;label
Встречает первого гостя с отработанной улыбкой и жестом приглашения;1
Говорит с Анной Павловной, не меняя позы и не вслушиваясь;1
Начал говорить громко и размахивать руками;1
Рассказывая анекдот, засмеялся первый, не дожидаясь реакции;1
Слушая виконта, не шевелилась и смотрела в одну точку;2
Поправила складку на платье и обвела зал взглядом;1
Лицо покрылось красными пятнами при разговоре о женихе;2
Вошёл быстрыми шагами и резко сел за стол;1
Стукнул тростью об пол, требуя тишины;1
Читая письмо Жюли, вздохнула и перекрестилась;1
Увидев князя Андрея, тотчас приняла красивую, томную позу;1
Разговаривая с женой, закрыл глаза и опустил голову;1
Приподняла губку и сделала лицо белочки;1
Зевнул и перекрестил рот;2
Тяжело вздохнул, глядя на разутых солдат;1
Краснея и заикаясь, объяснял пропажу денег;2
В гневе стукнул кулаком по столу;1
Воруя кошелёк, не поднимал глаз, лицо побледнело;2
Бросил кошелёк Телянину и выбежал из комнаты, хлопнув дверью;1
Сидя без сапог, смущённо улыбнулся Багратиону;1
Зажмуривал глаза и втягивал голову в плечи;2
Покусывал трубку, отчего искры летели во все стороны;2
Получив приказ отходить, отвернулся и ничего не ответил;1
Схватился за грудь и сел на землю;2
Сидел на коне с каменным лицом;1
Увидев Багратиона, подтянулись и перестали перешёптываться;1
Пьёт и смотрит в лицо Пьеру;1
Стоит, расставив ноги и тяжело дыша;2
Прищурился и стал целиться;1
Лицо бледно, челюсть тряслась;2
Медленно отошёл и стал боком;1
Шёл, спотыкаясь;2
Шёл, отвернувшись, рука за спиной;1
Шёл с вытянутой рукой, боясь убить себя;1
Вздрогнул, опустил пистолет, шатаясь;2
Бледность, закрытые глаза, кровь;2
Рот искривлён улыбкой, стон;2
Ухватившись рукой за траву;2
Крик «К барьеру!»;1
Схватился за голову, вслух приговаривая;1
Приподняла голову и пошла по лестнице;1
Оправляла платье перед зеркалом, не видя никого вокруг;2
Сердце билось так сильно, что отдавало в виски;2
Стоял, облокотившись на косяк, и молча глядел на толпу;1
Указал на Наташу и кивнул Андрею;1
Подняла на Пьера испуганные глаза;1
Лицо осветилось счастливой улыбкой;1
Положила руку на плечо Пьера и пошла вальсировать;1
Не сводил с неё глаз;1
Поправляя розу у корсажа, усаживалась подле него;2
"Стояла опустив руки; лицо бледно, глаза потуплены";1
Грудь поднималась чуть заметно;2
Подошёл к ней, низко кланяясь;1
Вспыхнула и, нахмурившись, опустила глаза;2
Тяжело дышала, видимо устав от танцев;2
Лицо покрылось лёгким румянцем;2
Глядя на Наташу, улыбнулся своей самоуверенной улыбкой;1
Взял Наташу за талию, сильно прижав к себе;1
"Глядя на Элен, замерла; испуганный взгляд переходил с неё на отца";1
Прощаясь с сыном, сунул ему конверт и отвернулся;1
Обняв отца, вышел из дома, не оглядываясь;1
В родах кричала «Не хочу!» ужасным голосом;2
Губы запеклись, глаза остекленели;2
Войдя к жене, увидел её страдальческую улыбку и услышал детский плач;2
Сидел, прислонившись к стене, и бессмысленно улыбался;2
Умирая, сел у костра, обхватив колени руками;2
Глядя на казнь, не мог отвести глаз;2
Хлопнул Пьера по плечу и подмигнул;1
Отвечая французу, засмеялся странным смехом;2
Увидев Николая Ростова, выпрямилась в кресле;1
Слёзы текли по щекам, но она не вытирала их;2
Проигравшись, вернулся домой и сел к клавикордам;2
Взял несколько аккордов и замер, уронив голову на руки;1
Запела громче и веселее, чтобы отвлечь брата;1
После объяснения с Николаем выбежала из комнаты в слезах;2
Танцуя «Данилу Купора», топал и громко смеялся;1
Сидел на лавке и постукивал пальцами по столу;2
При встрече с Наташей в театре навёл на неё лорнет;1
Оглянулась и, встретившись с ним глазами, покраснела;2
На вечере у дипломата низко наклонилась, облокотившись на стол;1
Швырнул тарелку на пол;1
Взяла его за руку, но он выдернул руку;1
Перед смертью на привале завернулся в шинель и затих;2
Освобождённый из плена, плакал, обнимая лошадь;2
Накануне Бородина резко прервал разговор и отошёл к окну;1
Сидел, распустив мундир, и молча слушал;2
Открыл единственный зрячий глаз и тяжело посмотрел на генералов;1
Перед Бородино вышел из палатки и махнул рукой;1
Теребил перчатку, слушая донесения;2
Надели чистые белые рубахи;1
Стоял на перекличке, выпучив глаза и не дыша;2
Перед атакой перекрестился и сжал эфес сабли до побелевших пальцев;1
Полз, волоча перебитую ногу;2
Перед гибелью подпрыгивал в седле, размахивая саблей;1
Перед смертью отстранил всех рукой и смотрел в потолок;1
Вздрогнул и застонал во сне;2
Во время пожара Москвы стоял, сжав кулаки, и скрипел зубами;2
Получив письмо от сына, прижала его к груди и покачивалась;1
Ядовито улыбнулась и молча указала глазами на дверь;1
Глядя на ночное небо, широко распахнула руки и засмеялась;1
Я вас предупреждаю, что вы будете отвечать за то, что вы скажете;0
Вы не можете понять, почему я это говорю;0
Наполеон велик, потому что он стал выше революции;0
После убийства герцога даже самые пристрастные люди перестали видеть в нем героя;0
Я знаю, что нельзя говорить о политике, но я не могу удержаться;0
Я вас прошу, messieurs, не говорите мне, что нет больше рыцарей;0
Никогда, никогда не женись, мой друг;0
Я не понимаю, отчего мужчина не может быть свободен;0
Ты мне дорог, особенно потому, что ты один живой человек среди всего нашего света;0
Ежели бы я был не я, а красивейший и умнейший человек в мире, я бы сию минуту просил бы руки вашей;0
Ежели ты хочешь быть счастлив, то будь им;0
Я оттого дорожу твоей дружбой, что только с тобой одним я могу чувствовать себя человеком;0
Мама, можно мне посмотреть, что там в гостиной?;0
Ты знаешь, что я не могу тебе ни в чем отказать;0
Я не дипломат, я солдат, и меня посылают туда, куда посылают;0
Я был у этого пгхвоста, Телянина. Он мне говогит: Ты деньги пгопил;0
Я не знаю, что вы думаете, но я честный офицер;0
Вы можете делать, что хотите, но я вам не судья;0
С богом, ребята;0
Ничего, ничего, голубчик, спасибо тебе;0
Вот прекрасная смерть;0
Вот оно, это небо, которого я не знал прежде и ныне увидел;0
Всё пустое, всё обман, кроме этого бесконечного неба;0
Надо жить, надо любить, надо верить;0
Я не верю в бога, но я знаю только то, что мне надо умереть;0
Нет, ты посмотри, что за луна!;0
Я не могу, я не хочу больше ждать;0
Я хочу плакать, плакать, плакать;0
Ты мне не дочь, ты мне слуга;0
Ежели бы мне сказали, что я должна умереть за него, я бы умерла с радостью;0
"Я не знаю, зачем я еду; но я знаю, что мне надо ехать";0
Я чувствую, что я не могу говорить, но я чувствую, что вы понимаете меня;0
Отчего вы не женитесь?;0
Я не могу жениться на женщине, которую я не уважаю;0
Ежели бы я знал, что вы будете здесь, я бы не пришёл;0
Вы смешны с вашими рассуждениями о добродетели;0
Я не люблю шутить с такими вещами;0
Я на всё готов, но я не люблю, когда меня обманывают;0
"Нет лучше русского солдата; он всё выдержит и всё сделает";0
От великого до смешного только один шаг;0
Ежели все будут воевать только по своим убеждениям, войны бы не было;0
Я хочу быть солдатом, просто солдатом, без всяких привилегий;0
Где суд, там и неправда;0
Час терпеть, а век жить;0
Я понял, что счастье — это отсутствие страдания;0
Я не могу больше петь, я не могу больше жить;0
Я не могу отказаться от него, я дала слово;0
Я люблю государя и отечество, и больше ничего не хочу знать;0
Я хочу только одного: чтобы все были счастливы;0
"Я не держу тебя; поезжай, куда хочешь";0
Я верю в то, что смерть — это пробуждение;0
Любовь не есть бог, потому что любовь может быть и зла;0
Я так счастлива, как никогда в жизни не была;0
Ежели есть бог и есть будущая жизнь, то есть истина, есть добродетель;0
Жизнь не кончается в тридцать лет;0
Я люблю вас больше, чем самого себя;0
Я не знаю, что со мной, но я чувствую, что я не могу без него жить;0
Я вас люблю больше, чем прежде;0
Мы все думаем, что как нас выкинет из привычной дорожки, что всё пропало;0
Не тужи, дружок, час терпеть, а век жить;0
Шахматы поставлены, игра начнётся завтра;0
Всё приходит вовремя для того, кто умеет ждать;0
Счастье есть отсутствие несчастья;0
Я не знаю, что я буду делать завтра, но я знаю, что я буду счастлив;0
Ты знаешь, что я тебя люблю больше всех на свете;0
"Я не могу иначе; я должен заплатить";0
Я не могу допустить, чтобы вы рисковали жизнью из-за моих фантазий;0
"Завтра мы идём на верную смерть; хочется поговорить с тобой";0
Я знаю, что я ничего не знаю;0
Я жил для славы и для других, и это было ошибкой;0
Спроси у мамы, можно ли мне выйти замуж?;0
Ты ещё ребёнок, и рано тебе думать о замужестве;0
Я не могу верить, что бог создал людей только для страдания;0
Страдание есть необходимое условие для постижения истины;0
Ежели ты думаешь, что ты сделал ошибку, то ты можешь её исправить;0
"Я не могу вспомнить, что было вчера; я помню только, что я была счастлива";0
Простота есть необходимое условие прекрасного;0
Бог простит, а ты прости меня, Христа ради;0
Терпение и время — вот мои воины-богатыри;0
Я хочу мира, но мира прочного, гарантированного;0
Я не верю в вечный мир;0
Я верю в возможность вечного мира;0
Я хочу, чтобы завтра уже было сегодня;0
Честь — это единственное, что я не могу потерять;0
Партизанская война — это поэзия войны;0
"Я не верю в случай; всё предопределено";0
"Случайности не существует; всё имеет причину";0
Я знаю только два действительных несчастья в жизни: угрызения совести и болезнь;0
Совесть — это голос бога в человеке;0
Я не могу объяснить, но я знаю, что это правда;0
Вера без дел мертва;0
Дела без веры — это просто механические действия;0
Жизнь есть сон, и смерть есть пробуждение;0
Сон — это маленькая смерть, но я не хочу умирать даже на время;0
Истина есть то, что выдерживает проверку временем;0
Правда — она как масло: всегда наверх всплывёт;0
"Россия спасена; благодарю бога";0
Франция не может быть великой без меня;0
Человек создан для счастья, как птица для полёта;0
Счастье в том, чтобы любить и быть любимой;0
Он кивнул в знак согласия;1
Она показала язык в ответ на грубость;1
Мужчина равнодушно пожал плечами;1
Она помахала рукой на прощание;1
Он приложил указательный палец к губам;1
Девушка игриво подмигнула собеседнику;1
Он развёл руками, показывая недоумение;1
Она демонстративно скрестила руки на груди;1
Он показал большой палец в знак одобрения;1
Она утвердительно закивала головой;1
Он отрицательно покачал головой;1
Оратор поднял руку, требуя тишины в зале;1
Она похлопала в ладоши, выражая восторг;1
Он постучал пальцами по столу от нетерпения;1
Она приложила руку к сердцу в знак искренности;1
Он скрестил пальцы на удачу;1
Девушка поправила причёску, глядя на собеседника;1
Он указал рукой направление движения;1
Она поманила его пальцем к себе;1
Он подмигнул, давая понять что это шутка;1
Она прикусила губу, сдерживая улыбку;1
Начальник стукнул кулаком по столу;1
Он поклонился в знак уважения;1
Она скорчила недовольную гримасу;1
Он протянул руку для рукопожатия;1
Она нежно погладила его по щеке;1
Он хлопнул друга по плечу в знак поддержки;1
Она взяла его под руку на прогулке;1
Он отодвинулся, увеличивая дистанцию;1
Она подошла почти вплотную к собеседнику;1
Он сел напротив, создавая позицию конфронтации;1
Она села рядом с ним на диван;1
Он поднял бровь в недоумении;1
Она нахмурилась, услышав неприятную новость;1
Он улыбнулся уголком рта;1
Она широко улыбнулась, показывая радость встречи;1
Он закатил глаза в ответ на глупую шутку;1
Она посмотрела на часы, намекая что пора уходить;1
Он зевнул, не прикрывая рот, показывая скуку;1
Она щёлкнула пальцами, привлекая внимание официанта;1
Он подозвал такси взмахом руки;1
Она одобрительно показала жест окей;1
Он потёр ладони в предвкушении;1
Она всплеснула руками от удивления;1
Он хлопнул себя по лбу, осознав ошибку;1
Она прижала руки к груди от радости;1
Он выставил вперёд раскрытую ладонь, останавливая собеседника;1
Она скрестила пальцы в замок на столе;1
Он обнял её при встрече;1
Она поцеловала его в щёку на прощание;1
Он погрозил пальцем нашкодившему ребёнку;1
Она показала кулак в шутливой угрозе;1
Он пожал руку, глядя прямо в глаза;1
Она отдала честь по-военному;1
Он показал два пальца в знаке победы;1
Она скрестила ноги, отворачиваясь от собеседника;1
Он наклонился вперёд, показывая интерес к разговору;1
Она откинулась на спинку стула, создавая барьер;1
Он ритмично постукивал ручкой, показывая нетерпение;1
Она сжала его руку в ответ на страшную новость;1
Он поднял обе руки, показывая что безоружен;1
Она сложила руки в молитвенном жесте;1
Он показал ей язык, поддразнивая;1
Она надула губы, изображая обиду;1
Он прищурился, оценивая собеседника;1
Она посмотрела на него исподлобья;1
Он выпрямился во весь рост, утверждая авторитет;1
Она опустила голову, признавая вину;1
Он кулаком ударил по ладони, показывая решимость;1
Она медленно поправила очки, выдерживая паузу;1
Он расстегнул пиджак, показывая расслабленность;1
Она застегнула все пуговицы, демонстрируя официальность;1
Он придвинул стул ближе, сокращая дистанцию;1
Она отодвинула стул назад, увеличивая пространство;1
Он сел во главе стола, утверждая лидерство;1
У него задрожали руки от холода;2
Она покраснела от смущения;2
Его бросило в пот от страха;2
У неё перехватило дыхание от неожиданности;2
Сердце забилось быстрее перед экзаменом;2
Он вздрогнул от внезапного громкого звука;2
Глаза заслезились от дыма;2
Мурашки побежали по коже от холода;2
Он побледнел от страха;2
Колени подкосились от усталости;2
У неё закружилась голова от духоты;2
Его затошнило от запаха;2
Зубы застучали от холода;2
У неё онемели пальцы на морозе;2
В горле пересохло от волнения;2
Его лицо залилось краской стыда;2
У неё подкосились ноги от страшного известия;2
Он икнул от неожиданности;2
Пальцы сами собой сжались в кулаки от гнева;2
У неё задрожал подбородок перед плачем;2
Руки похолодели от ужаса;2
Его бросило в жар от смущения;2
Зрачки расширились в темноте;2
У неё перехватило горло от слёз;2
Он чихнул от пыли;2
В висках застучало от давления;2
Её зазнобило от температуры;2
Пот выступил на лбу от жары;2
У него заложило уши при взлёте;2
Она вздрогнула во сне;2
Ноги затекли от долгого сидения;2
Глаза закрывались сами собой от усталости;2
У него свело ногу судорогой;2
Она побледнела при виде крови;2
В ушах зазвенело после громкого концерта;2
Его передёрнуло от отвращения;2
Губы посинели от холода;2
У неё потемнело в глазах от резкого подъёма;2
Руки опустились сами собой от бессилия;2
На лбу выступила испарина;2
Комок подкатил к горлу от обиды;2
Он взмок от напряжения;2
Пальцы задрожали при сборке мелкой детали;2
У неё подогнулись колени от слабости;2
Его знобило при простуде;2
Кровь отлила от лица при испуге;2
В глазах поплыло от переутомления;2
Она поморщилась от резкого света;2
У него запершило в горле;2
Щёки горели от мороза;2
Её всю трясло от нервного напряжения;2
Он поперхнулся водой от смеха;2
В боку закололо от быстрого бега;2
У неё застучало в висках от гнева;2
Спина покрылась холодным потом;2
Ноги стали ватными от страха;2
Она вздрогнула от прикосновения холодной руки;2
Кровь запульсировала в ушах;2
Его бросило в холод при мысли об опасности;2
Перед глазами поплыли круги;2
У неё ослабли руки от долгой работы;2
Он невольно отшатнулся от огня;2
Глаза защипало от лука;2
В носу защекотало от перца;2
Его передёрнуло от холода;2
Она побледнела как полотно;2
Зрачки сузились от яркого света;2
У него заложило нос от аллергии;2
Кожа покрылась пупырышками от холода;2
Её замутило от укачивания;2
Руки задрожали от слабости после болезни;2
Он покрылся холодной испариной;2
Голос сорвался от волнения;2
У неё подогнулись ноги при виде знаменитости;2
На глазах выступили слёзы от ветра;2
Я думаю, нам нужно обсудить эту проблему;0
Пожалуйста, передайте мне соль;0
Вы не подскажете, который сейчас час;0
Я полностью согласен с вашим мнением;0
Извините, я опоздал на встречу;0
Спасибо большое за вашу помощь;0
Мне кажется, это отличная идея;0
Давайте встретимся завтра в пять часов;0
Я хочу заказать пиццу с грибами и сыром;0
По-моему, ты глубоко ошибаешься в этом вопросе;0
Расскажи мне, как прошёл твой день;0
Я не знаю ответа на этот вопрос;0
На мой взгляд, фильм был довольно скучным;0
Поздравляю тебя с днём рождения;0
Можно мне взять отгул на следующей неделе;0
Я обещаю, что больше так не буду;0
По прогнозу погоды завтра ожидается дождь;0
Ты слышал, что случилось вчера вечером;0
Я предпочитаю чай вместо кофе;0
Нам необходимо срочно решить этот вопрос;0
Он сказал, что придёт не раньше семи;0
Давай не будем больше ссориться по пустякам;0
Я считаю, что это несправедливое решение;0
Ты можешь объяснить мне эту задачу ещё раз;0
Мне жаль, что так получилось;0
По-моему, здесь что-то не так;0
Скажи честно, что ты об этом думаешь;0
Я бы хотел записаться на приём к врачу;0
Насколько я знаю, он уехал в командировку;0
Не могли бы вы говорить немного тише;0
Я вам перезвоню через десять минут;0
Слушай внимательно, это очень важно;0
Кто последний в очереди;0
Мне нужен совет по одному личному вопросу;0
Я прочитал интересную книгу на выходных;0
Давайте проголосуем за это предложение;0
Ты не представляешь, что я пережил;0
По статистике, каждый третий страдает от стресса;0
Я сделаю всё возможное, чтобы помочь;0
Вынужден с вами не согласиться по этому пункту;0
Ты помнишь, где мы оставили машину;0
Мне кажется, нам стоит всё обдумать ещё раз;0
Это было самое лучшее лето в моей жизни;0
Не могли бы вы подать мне меню;0
Я думаю, ты преувеличиваешь масштаб проблемы;0
Алло, ты меня слышишь;0
Мне нужно отпроситься сегодня пораньше;0
Я хочу признаться тебе кое в чём;0
Ты был прав, а я ошибался;0
Скажите, как пройти к ближайшей аптеке;0
Я бы на твоём месте не стал рисковать;0
По-моему, это лучший ресторан в городе;0
Ты не мог бы одолжить мне немного денег;0
Я забыл твой номер телефона;0
Надо бы нам почаще встречаться;0
Ты веришь в судьбу или в случайность;0
Мой начальник сказал, что я получу повышение;0
Давайте не будем спешить с выводами;0
Я хочу извиниться за своё вчерашнее поведение;0
Ты точно помнишь, что закрыл дверь;0
Мне приснился странный сон этой ночью;0
Я не понимаю, о чём ты говоришь;0
Не мог бы ты объяснить это простыми словами;0
По-моему, это не имеет смысла;0
Скажите, вы принимаете банковские карты;0
Я хочу бронировать столик на двоих;0
Ты знаешь, который час;0
Мне нужно с тобой серьёзно поговорить;0
Я звоню, чтобы подтвердить заказ;0
По радио передали, что пробки на кольце;0
Слушай, а давай сходим куда-нибудь вечером;0
Ты не заметил ничего странного в его поведении;0
Я бы хотел уточнить условия договора;0
Мне кажется, мы где-то уже встречались;0
На вашем месте я бы согласился на это предложение;0
Ты что, совсем с ума сошёл;0
Давай сделаем вид, что ничего не было;0
Я просто хотел сказать, что скучаю;0
На сколько дней вы планируете поездку;0
Это был самый неловкий момент в моей жизни;0
Ты не мог бы приглушить музыку;0
Я слышал, что вы ищете нового сотрудника;0
Пожалуйста, не перебивай меня;0
Ты говоришь это серьёзно или шутишь;0
Мне очень стыдно за свой поступок;0
Давай позвоним ему и всё выясним;0
Я считаю, что каждый имеет право на ошибку;0
Ты помнишь наш последний разговор;0
По-моему, этот цвет тебе не идёт;0
Скажите, пожалуйста, как вас зовут;0
Я думаю, нам пора прощаться;0
Ты не мог бы подвезти меня до метро;0
Мне нужно время, чтобы всё обдумать;0
Вы не знаете, когда откроется магазин;0
Я никогда не видел ничего подобного;0
Давай оставим эту тему для другого раза;0
Ты не представляешь, как я рад тебя видеть;0
По-моему, здесь очень уютно;0
Я позвоню тебе, как только освобожусь;0
Скажи мне правду, какой бы она ни была;0
